operation,input_bytes,page_bytes,operations,median_seconds,live_requested_bytes
scalar_star,16777216,0,1,0.059725482,16777216
table8_star,16777216,0,1,0.011601007,16777216
parallel2_star,16777216,0,1,0.006491937,16777216
parallel4_star,16777216,0,1,0.004088323,16777216
parallel8_star,16777216,0,1,0.002525554,16777216
scalar_chain,16777216,0,1,0.056328648,16777216
table8_chain,16777216,0,1,0.010974859,16777216
parallel2_chain,16777216,0,1,0.005858331,16777216
parallel4_chain,16777216,0,1,0.004309358,16777216
parallel8_chain,16777216,0,1,0.002904662,16777216
scalar_nested,16777216,0,1,0.053776544,16777216
table8_nested,16777216,0,1,0.010409087,16777216
parallel2_nested,16777216,0,1,0.005829387,16777216
parallel4_nested,16777216,0,1,0.004303883,16777216
parallel8_nested,16777216,0,1,0.002626912,16777216
build,16777216,256,1,0.020226684,26214336
read,16777216,256,1000,0.000085632,26214336
find_close,16777216,256,1000,0.000255334,26214336
range_4k_summary,16777216,256,1000,0.000522520,26214336
mix50_uniform,16777216,256,1000,0.000705186,26958336
mix5_uniform,16777216,256,1000,0.000132601,26288736
mix50_hot,16777216,256,1000,0.000733680,26958336
mix5_hot,16777216,256,1000,0.000130647,26288736
splice_history,16777216,256,1000,0.003380243,28667685
branch_history,16777216,256,1000,0.001287849,27702256
build,16777216,1024,1,0.016013803,19136448
read,16777216,1024,1000,0.000053411,19136448
find_close,16777216,1024,1000,0.000207133,19136448
range_4k_summary,16777216,1024,1000,0.000994523,19136448
mix50_uniform,16777216,1024,1000,0.000849539,20192448
mix5_uniform,16777216,1024,1000,0.000114457,19242048
mix50_hot,16777216,1024,1000,0.000820224,20192448
mix5_hot,16777216,1024,1000,0.000101172,19242048
splice_history,16777216,1024,1000,0.003361597,22138372
branch_history,16777216,1024,1000,0.001724567,21248368
build,16777216,4096,1,0.013372728,17366976
read,16777216,4096,1000,0.000018825,17366976
find_close,16777216,4096,1000,0.000122371,17366976
range_4k_summary,16777216,4096,1000,0.002844528,17366976
mix50_uniform,16777216,4096,1000,0.001999578,19886976
mix5_uniform,16777216,4096,1000,0.000186233,17618976
mix50_hot,16777216,4096,1000,0.001885261,19886976
mix5_hot,16777216,4096,1000,0.000184991,17618976
splice_history,16777216,4096,1000,0.006188027,23106193
branch_history,16777216,4096,1000,0.004077384,22406896
